Number of Vehicles,battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,95851 ,438 ,3483502 ,651 ,130559 ,0 ,50 
HDVs,13829 ,0 ,20098 ,38782 ,831 ,0 ,360 
aircraft,0 ,0 ,0 ,1338 ,0 ,0 ,0 
rail,16 ,0 ,0 ,9 ,0 ,0 ,0 
ships,4 ,0 ,0 ,85 ,0 ,0 ,0 
motorbikes,0 ,0 ,191700 ,0 ,0 ,0 ,0 
