Cargo Dist Transported Relative to Start Year (dimensionless),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LDVs,1.0000 ,2.9621 ,2.9204 ,2.7654 ,2.9132 ,3.1604 ,3.2669 ,3.2378 ,3.2086 ,3.1795 ,3.1503 ,3.1212 ,3.1062 ,3.0911 ,3.0761 ,3.0611 ,3.0460 ,3.0310 ,3.0160 ,3.0009 ,2.9859 ,2.9709 ,2.9729 ,2.9750 ,2.9771 ,2.9792 ,2.9813 ,2.9833 ,2.9854 ,2.9875 ,2.9896 ,2.9917 ,2.9929 ,2.9942 ,2.9954 ,2.9967 ,2.9979 ,2.9992 ,3.0004 ,3.0017 ,3.0029 ,3.0042 
HDVs,1.0000 ,1.0241 ,1.0315 ,0.6438 ,1.3020 ,3.3491 ,5.2512 ,5.7002 ,6.1492 ,6.5982 ,7.0472 ,7.4962 ,7.2224 ,6.9485 ,6.6747 ,6.4008 ,6.1270 ,5.8531 ,5.5793 ,5.3054 ,5.0316 ,4.7577 ,4.6027 ,4.4476 ,4.2926 ,4.1375 ,3.9825 ,3.8274 ,3.6724 ,3.5173 ,3.3623 ,3.2072 ,3.1405 ,3.0738 ,3.0071 ,2.9404 ,2.8737 ,2.8070 ,2.7403 ,2.6735 ,2.6068 ,2.5401 
aircraft,1.0000 ,1.0637 ,1.1435 ,0.5280 ,1.9306 ,1.9397 ,1.9487 ,1.9577 ,1.9667 ,1.9757 ,1.9848 ,1.9938 ,2.0557 ,2.1177 ,2.1797 ,2.2416 ,2.3036 ,2.3656 ,2.4276 ,2.4895 ,2.5515 ,2.6135 ,2.6339 ,2.6543 ,2.6746 ,2.6950 ,2.7154 ,2.7358 ,2.7562 ,2.7766 ,2.7970 ,2.8174 ,2.8259 ,2.8345 ,2.8430 ,2.8515 ,2.8601 ,2.8686 ,2.8771 ,2.8857 ,2.8942 ,2.9027 
rail,1.0000 ,0.9587 ,0.8613 ,0.4529 ,0.8679 ,2.1490 ,3.1446 ,3.0400 ,2.9354 ,2.8308 ,2.7262 ,2.6215 ,2.6169 ,2.6123 ,2.6077 ,2.6031 ,2.5985 ,2.5939 ,2.5893 ,2.5847 ,2.5800 ,2.5754 ,2.5736 ,2.5717 ,2.5699 ,2.5681 ,2.5662 ,2.5644 ,2.5625 ,2.5607 ,2.5589 ,2.5570 ,2.5515 ,2.5459 ,2.5403 ,2.5348 ,2.5292 ,2.5237 ,2.5181 ,2.5126 ,2.5070 ,2.5015 
ships,1.0000 ,1.0274 ,1.4589 ,0.8014 ,1.8288 ,2.4124 ,2.9961 ,3.0577 ,3.1276 ,3.1935 ,3.2431 ,3.2624 ,3.2608 ,3.2564 ,3.2494 ,3.2401 ,3.2291 ,3.2042 ,3.1582 ,3.0980 ,3.0307 ,2.9628 ,2.8926 ,2.8138 ,2.7267 ,2.6320 ,2.5300 ,2.4021 ,2.2488 ,2.0957 ,1.9624 ,1.8643 ,1.7871 ,1.7145 ,1.6542 ,1.6133 ,1.5979 ,1.5979 ,1.5979 ,1.5979 ,1.5979 ,1.5979 
motorbikes,1.0000 ,1.0000 ,1.2358 ,1.4717 ,1.7075 ,1.9433 ,2.1792 ,2.4150 ,2.6508 ,2.8867 ,3.1225 ,3.3583 ,3.3996 ,3.4408 ,3.4820 ,3.5232 ,3.5645 ,3.6057 ,3.6469 ,3.6881 ,3.7294 ,3.7706 ,3.7913 ,3.8121 ,3.8328 ,3.8535 ,3.8743 ,3.8950 ,3.9158 ,3.9365 ,3.9573 ,3.9780 ,3.9609 ,3.9439 ,3.9268 ,3.9098 ,3.8927 ,3.8757 ,3.8586 ,3.8416 ,3.8245 ,3.8075 
