,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
transportation sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
electricity sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
residential buildings sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
commercial buildings sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
industry sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
district heat and hydrogen sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
LULUCF sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
geoengineering sector,0.517681853,0.517681853,0.517681853,0.517681853,0.517681853,0.515631643,0.515631643,0.515631643,0.515631643,0.515631643,0.513017056,0.513017056,0.513017056,0.513017056,0.513017056,0.509838998,0.509838998,0.509838998,0.509838998,0.509838998,0.506391587,0.506391587,0.506391587,0.506391587,0.506391587,0.503066513,0.503066513,0.503066513,0.503066513,0.503066513,0.500038626,0.500038626,0.500038626,0.500038626,0.500038626,0.49691754,0.49691754,0.49691754,0.49691754,0.49691754,0.493087086
