,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
transportation sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
electricity sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
residential buildings sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
commercial buildings sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
industry sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
district heat and hydrogen sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
LULUCF sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
geoengineering sector,0.482318147,0.482318147,0.482318147,0.482318147,0.482318147,0.484368357,0.484368357,0.484368357,0.484368357,0.484368357,0.486982944,0.486982944,0.486982944,0.486982944,0.486982944,0.490161002,0.490161002,0.490161002,0.490161002,0.490161002,0.493608413,0.493608413,0.493608413,0.493608413,0.493608413,0.496933487,0.496933487,0.496933487,0.496933487,0.496933487,0.499961374,0.499961374,0.499961374,0.499961374,0.499961374,0.50308246,0.50308246,0.50308246,0.50308246,0.50308246,0.506912914
