$/year,battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,775 ,1550 ,1550 ,1550 ,775 ,0 ,1550 
HDVs,1163 ,2325 ,2325 ,2325 ,1163 ,0 ,2325 
aircraft,0 ,0 ,0 ,1147351 ,0 ,0 ,0 
rail,2195975 ,0 ,0 ,3137107 ,0 ,0 ,0 
ships,0 ,1200000 ,0 ,1200000 ,0 ,0 ,0 
motorbikes,0 ,0 ,0 ,0 ,0 ,0 ,0 
