Share that is New (dimensionless),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle,
LDVs,0.0963 ,0.0963 ,0.0963 ,0.0963 ,0.0963 ,0.0963 ,0.0963 ,
HDVs,0.1333 ,0.1333 ,0.1333 ,0.1333 ,0.1333 ,0.1333 ,0.1333 ,
aircraft,0.0400 ,0.0400 ,0.0400 ,0.0400 ,0.0400 ,0.0400 ,0.0400 ,
rail,0.0478 ,0.0478 ,0.0478 ,0.0478 ,0.0478 ,0.0478 ,0.0478 ,
ships,0.0335 ,0.0335 ,0.0335 ,0.0335 ,0.0335 ,0.0335 ,0.0335 ,
motorbikes,0.1000 ,0.1000 ,0.1000 ,0.1000 ,0.1000 ,0.1000 ,0.1000 ,
