load factor,urban residential,rural residential,commercial
heating,0.0296,0.0296,0.0266
cooling & ventilation,4.7940,4.7940,4.3750
envelope,0.0000,0.0000,0.0000
lighting,2.7441,2.7441,1.6565
appliances,1.6955,1.6955,1.2150
other,1.6533,1.6533,1.3729
