Unit: dimensionless (MW-peak/MW-avg),summer,winter
LDVs,2.301616095,2.390848395
HDVs,0.97694582,0.975816265
aircraft,0.976318045,0.983709179
rail,0.976318045,0.983709179
ships,0.976318045,0.983709179
motorbikes,2.301616095,2.390848395
