Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 01T03,0.04,0.038,0.037,0.036,0.034,0.033,0.032,0.03,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534,0.008927534
ISIC 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISIC 09,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835,0.003110835
ISIC 10T12,0.023,0.022,0.022,0.021,0.021,0.02,0.019,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956,0.006492956
ISIC 13T15,0.014,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851,0.004202851
ISIC 16,0.019,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714,0.005450714
ISIC 17T18,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221,0.00222221
ISIC 19,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054,0.001831054
