Unit: dimensionless (% of workers),2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ISIC 241,0.034,0.035,0.035,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.048,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.055,0.056,0.057,0.058,0.059,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889,0.058995889
ISIC 242,0.009,0.009,0.01,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.013,0.013,0.014,0.014,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.018,0.018,0.019,0.019,0.019,0.02,0.02,0.021,0.021,0.022,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246,0.021842246
ISIC 25,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.037,0.038,0.039,0.04,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.045,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716,0.045352716
ISIC 26,0.032,0.033,0.033,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316,0.054834316
ISIC 27,0.035,0.036,0.036,0.037,0.038,0.039,0.04,0.04,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.057,0.058,0.059,0.06,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865,0.060111865
ISIC 28,0.023,0.024,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.03,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.041,0.042,0.043,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503,0.042798503
ISIC 29,0.022,0.023,0.023,0.024,0.024,0.025,0.026,0.026,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.037,0.038,0.039,0.04,0.04,0.041,0.042,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635,0.04170635
ISIC 30,0.024,0.025,0.025,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.037,0.038,0.039,0.04,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077,0.044565077
ISIC 31T33,0.032,0.033,0.033,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.047,0.048,0.049,0.05,0.051,0.051,0.052,0.053,0.054,0.055,0.056,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698,0.05563698
ISIC 351,0.025,0.026,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.034,0.034,0.035,0.036,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.044,0.044,0.045,0.046,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857,0.045752857
ISIC 352T353,0.032,0.033,0.033,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.047,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.056,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002,0.055784002
ISIC 36T39,0.032,0.032,0.033,0.034,0.034,0.035,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694,0.055614694
ISIC 41T43,0.034,0.035,0.035,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.047,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185,0.058575185
ISIC 45T47,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.062,0.063,0.064,0.065,0.066,0.067,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637,0.067292637
ISIC 49T53,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.048,0.049,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.057,0.058,0.059,0.06,0.061,0.062,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498,0.062016498
ISIC 55T56,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.072,0.073,0.074,0.075,0.076,0.077,0.078,0.079,0.08,0.081,0.082,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276,0.082343276
ISIC 58T60,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515,0.047575515
ISIC 61,0.027,0.028,0.028,0.029,0.03,0.03,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.036,0.037,0.037,0.038,0.039,0.04,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.049,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642,0.048554642
ISIC 62T63,0.03,0.031,0.031,0.032,0.033,0.034,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.048,0.049,0.05,0.051,0.052,0.052,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177,0.052373177
ISIC 64T66,0.024,0.025,0.025,0.026,0.026,0.027,0.028,0.028,0.029,0.03,0.03,0.031,0.032,0.032,0.033,0.034,0.034,0.035,0.036,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.043,0.044,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366,0.044195366
ISIC 68,0.026,0.027,0.027,0.028,0.029,0.029,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.043,0.044,0.045,0.046,0.047,0.047,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038,0.047303038
ISIC 69T82,0.03,0.031,0.031,0.032,0.033,0.033,0.034,0.035,0.036,0.036,0.037,0.038,0.039,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444,0.052751444
ISIC 84,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257,0.076103257
ISIC 85,0.031,0.032,0.032,0.033,0.034,0.035,0.035,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.041,0.042,0.043,0.044,0.045,0.045,0.046,0.047,0.048,0.049,0.05,0.05,0.051,0.052,0.053,0.054,0.055,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537,0.054545537
ISIC 86T88,0.033,0.034,0.034,0.035,0.036,0.037,0.038,0.038,0.039,0.04,0.041,0.042,0.042,0.043,0.044,0.045,0.046,0.046,0.047,0.048,0.049,0.05,0.051,0.051,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692,0.057526692
ISIC 90T96,0.06,0.061,0.062,0.063,0.064,0.065,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.075,0.076,0.077,0.078,0.079,0.08,0.082,0.083,0.084,0.085,0.086,0.087,0.089,0.09,0.091,0.092,0.093,0.095,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246,0.094644246
ISIC 97T98,0.046,0.047,0.048,0.049,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.056,0.057,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007,0.075404007
