Policy:,livestock measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-80,-70,0,423402181.3,846804362.6,1270206544,1560609438,1722656501,1591732833,1525917202,1465300653,1409068953,1355861334,1032899270,738503202.7,469889736.7,224476881.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,0,0,0,0,0,0,0,0,0,0,397314983.1,757526949.8,1084486580,1381556260,1651189788,1267003966,912327786.5,584324326.6,280970782.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,-50,4757244972,3995408125,3233571277,2471734430,1575619130,771457050,718652698.9,694396153.6,671934856.8,650965693.7,630917118.6,480634571.5,343644516.7,218651768.7,104454861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,-40,0,761062791.7,1522125583,2283188375,2805185775,3096464363,2811993028,2649692663,2501232531,2364630268,2237120769,2118190581,2007737205,1905180000,1809761899,1720302843,1320036340,950514650.4,608782108,292731240.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40,-30,0,0,0,0,0,0,0,0,0,0,0,247867620.2,472588274.4,676564235.4,861893150.2,1030105837,790428932.4,569161815.9,364534654.9,175285509.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30,-20,628073359.6,883070186.8,1138067014,1393063841,1518638276,1548558090,1435220225,1379954884,1328964879,1281564237,1236557995,942013625.3,673521706.9,428543757.7,204724978.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20,-10,1103343285,882674627.7,662005970.7,441337313.8,203339522.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,416967551.4,427621904.6,438276257.8,448930610.9,423493704.3,382643667.2,279581395.9,198719546.2,125780130.2,59801198.79,0,0,0,0,0,0,81458193.48,156414292.5,225404207,289026685.8,347742689.2,337676709.2,328124169.7,318974345.6,310319209.2,302093641.9,293694817.5,285710835.9,278088948.5,270826817.7,263861381.2,256448316.1,249372700.5,242581214.2,236042469.7,229756632.4,222826187.2,216154827.3,209483467.5,202812107.7,196140747.9,189469388.1,182798028.3,176126668.5,169455308.7,162783948.9
0,0,0,0,0,0,0,0,76870636.29,145700662.3,207498756,263076514.8,312933199.2,302551989.6,292772415.5,283573877.2,274903409.4,266634573.4,204596143,147322937.6,94356850.22,45371237.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,10,4383013318,4336238936,4289464554,4242690172,3866410044,3376244024,3039102276,2837990943,2654437258,2485995021,2329474141,2179885462,2041528072,1913547807,1794938442,1684312180,1692597376,1699041490,1703383441,1706501309,1708347008,1622780628,1542379349,1466405058,1395083589,1327919743,1263986130,1203716839,1146742675,1092920713,1041872765,922418341.3,810213623.8,704656806.6,605284440.3,511753745,402987878.6,300362040.9,197736203.3,95110365.71,0,0,0,0,0,0
10,20,6338065669,6323682998,6309300327,6294917657,5787323855,5098900524,4630835108,4363908145,4119737911,3895063974,3685335475,3212784732,2780031274,2383437543,2019415323,1684312180,1637646679,1593526327,1551328529,1511527453,1473764057,1394987942,1321030578,1251228542,1185745625,1124130556,1065862505,1010978941,959146251.3,910223086.8,863873800,854896751.3,846021066.3,837138526.6,828203944,819276099.3,810389749.7,801483907.1,792578064.4,783672221.8,774766379.2,765860536.6,756954694,748048851.4,739143008.7,730237166.1
20,30,4383013318,4336238936,4289464554,4242690172,3866410044,3376244024,3039102276,2837990943,2654437258,2485995021,2329474141,2447848498,2552430581,2644963256,2726708011,2797931973,2438079897,2104991896,1795776277,1509145461,1242905340,1170811623,1103195807,1039467978,979730867.6,923576433.8,870884222.9,821301090.9,774528445.3,730426487.6,688701436.9,684084523.8,679381774.2,674517932.8,669466536.1,664284117.5,659492161.7,654540556.6,649588951.5,644637346.4,639685741.4,634734136.3,629782531.2,624830926.2,619879321.1,614927716
30,40,4383013318,4336238936,4289464554,4242690172,3866410044,3376244024,3039102276,2837990943,2654437258,2485995021,2329474141,2179885462,2041528072,1913547807,1794938442,1684312180,1583568377,1489686322,1401687638,1319648998,1242905340,1170811623,1103195807,1039467978,979730867.6,923576433.8,870884222.9,821301090.9,774528445.3,730426487.6,688701436.9,649299925.4,612094921.2,576860253.6,543438505.6,511753745,475564837.3,441189959.6,406815082,372440204.4,338065326.7,303690449.1,269315571.5,234940693.9,200565816.2,166190938.6
40,50,4383013318,4336238936,4289464554,4242690172,3866410044,3376244024,3102534352,2958220149,2825660986,2703080379,2587700215,2429623164,2283266577,2147760046,2022054302,1904657693,1797389964,1697350393,1603476398,1515903603,1433917603,1356334427,1283508276,1214788628,1150328984,1089685724,874717900.8,673830072,485893207.1,309992076.1,145208886.6,141146147.1,137268008.9,133545201.7,129960515.7,126514106,122715323.3,119058165.7,115401008.2,111743850.7,108086693.1,104429535.6,100772378.1,97115220.52,93458062.99,89800905.45
50,60,5543215343,5341870656,5140525969,4939181282,4365773746,3691439309,3269402018,3001682308,2758046196,2535255096,2329474141,2179885462,2041528072,1913547807,1794938442,1684312180,2019423184,2326605462,2607748109,2866131495,3103556998,2965511381,2835575758,2712502754,2596811545,2487686968,2236397988,2000935278,1779938647,1572494549,1377402874,1298599851,1224189842,1153720507,1086877011,1023507490,951129674.5,882379919.3,813630164,744880408.8,676130653.5,607380898.2,538631143,469881387.7,401131632.5,332381877.2
60,70,685597953.4,880442000.2,1075286047,1270130094,1349929554,1350629126,1113711208,941884908.3,786417452.7,645252847.4,516452147.9,499475405,483477010.5,468424479.2,454231719.6,440691025.7,427643173.4,415328142.3,403577519.6,392509208.6,382024525.7,371045608.4,360624938.1,350641300.8,341196232.7,332218581.1,625323772.9,898283559.8,1152576853,1389685670,1610670837,1303285214,1015159062,744829611.3,491118408.6,253028212,0,0,0,0,0,0,0,0,0,0
70,80,0,0,0,0,0,0,139252508.2,263939309.7,375887642.2,476567728.7,566883988.4,431853938.9,308767298.3,196460332.2,93853513.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253405577.2,490184293.8,711435568.7,918113396.6,1111182789,1339909383,1554257735,1768606088,1982954440,2197302793,2411651145,2625999498,2840347850,3054696203,3269044555
80,90,0,900438103.9,1800876208,2701314312,3318906386,3663527544,2676783211,1902591349,1204250876,572551848.3,0,112034362.5,213606464.6,305802116.2,389569438.5,465600350.3,357268131.5,257257003.3,164767014.1,79227775.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,100,5050946864,4118227591,3185508319,2252789046,1216404543,315195285.7,293731818.7,283920570.6,274832666.7,266345433.5,258226073.9,249737702.5,241738505.2,234212239.6,227115859.8,220345512.8,169077256.1,121746958.1,77976041.45,37494569.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,150,3465488560,3461035389,3456582217,3452129045,3176929493,2801823058,2882349759,3038075200,3175410986,3296131230,3399928727,3265985657,3140554656,3023206895,2913187898,2808993296,2701386028,2600400592,2504802732,2415164330,2330718071,2241893630,2158073346,2078400271,2003357194,1932403997,1591971110,1273728198,975880395.7,697004925.8,435626659.9,423438441.3,411804026.6,400635605.2,389881547,379542318,368145969.8,357174497.2,346203024.6,335231552,324260079.4,313288606.8,302317134.2,291345661.6,280374189,269402716.4
150,200,0,0,0,0,0,0,373916161,708720975.3,1009320880,1279663669,1522177858,1429191470,1343099460,1263389827,1189445352,1120388594,1520749924,1888369156,2225670326,2536139820,2821980055,2706214225,2597108752,2493581877,2396166717,2304169417,2142904589,1991427420,1848841452,1714651552,1588013365,1520022510,1455596356,1394312581,1335894280,1280253427,1217443759,1157519735,1097595711,1037671686,977747662.4,917823638.4,857899614.3,797975590.2,738051566.2,678127542.1
