Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
-400,-350,177755745.7,197945315.7,218134885.7,238324455.7,238908694.2,228107079.6,193501009.8,169222372.4,147127217.1,126938510.9,108375588,117874406.3,126452831.8,134217894.1,141251030.6,147579489.6,135563158.9,124376884.6,113916871.6,104168942.2,95059034.24,73393256.12,53164200.92,34248761.58,16561555.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-350,-300,84592195.59,650632638.6,1216673082,1782713525,2170627849,2385635676,1752653312,1254309499,802141883.2,390616561.2,15238399.75,19411618.09,23209008.73,26670605.39,29829693.55,32705687.29,25252010.27,18344377.41,11930566.25,5974230.344,433628.2233,416571.6578,400480.8352,385193.8832,370797.6703,357189.4619,33689381.48,64943671.84,94272077.15,121822647,147705558.8,143096699,138710150.5,134513798.9,130488092.2,126631143.2,122118148.8,117906884.5,113695620.2,109484355.9,105273091.6,101061827.4,96850563.08,92639298.8,88428034.52,84216770.24
-300,-250,2954800767,2363840614,1772880460,1181920307,546142586.5,0,20931728.64,39807019.85,56879907.35,72353993.85,86349732.14,66007913.88,47356429.15,30234812.77,14493189.12,0,47645194.01,91689247.63,132422765.2,170175977.3,205200782.9,198217676.5,191617203.6,185328083.2,179397762.8,173782487.2,134896894.2,98380337.96,64046462.36,31742091.81,1317776.619,1281084.374,1246115.211,1212599.303,1180376.559,1149444.874,1113503.016,1079865.928,1046228.841,1012591.753,978954.665,945317.5772,911680.4894,878043.4017,844406.3139,810769.2261
-250,-200,684633047.8,560964278.1,437295508.5,313626738.8,175551830.3,54254899.99,49214534.7,46317068.87,43664199.56,41221070.13,38939285.4,95999533.24,148070440.4,195662815.3,239218722,279042555.4,214589299.8,154859780.7,99403199.93,47903498.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-200,-150,221536017.4,246490715.4,271445413.3,296400111.3,296983723.4,283439652.8,444703665.8,598732294.9,737885104.7,863804741.1,977317908.2,790857918.7,619728312.4,462498320.8,317808442.2,184410054.7,144878674.7,108237498.1,74207293.61,42600422.55,13194722.86,12723701.1,12278786.44,11855287.89,11456128.25,11078395.77,10690609.26,10323494.18,9974708.584,9643773.22,9328075.607,9006725.721,8701196.509,8409345.669,8129840.294,7862460.386,7547882.375,7255008.569,6962134.762,6669260.956,6376387.149,6083513.343,5790639.536,5497765.73,5204891.923,4912018.117
-150,-100,1206641499,1338883134,1471124770,1603366405,1603982026,1528755787,1120994412,799721510,508222987.1,242931851.3,955256.2195,4955450.59,8607432.737,11946629.69,15003895.58,17800977.89,19847043.66,21729034.25,23455750.03,25049708.12,26520455.63,25688088,24900379.53,24148460.58,23438871.92,22766271.81,22120668.53,21508113.68,20924484.68,20369468.52,19838196.83,19288807.37,18765182.08,18263270.16,17780671.23,17317363.53,16779199.84,16275471.65,15771743.45,15268015.26,14764287.06,14260558.86,13756830.67,13253102.47,12749374.27,12245646.08
-100,-90,0,0,0,0,0,0,64361.31574,122399.4548,174895.5253,222475.5692,265509.9572,202962.5101,145612.5359,92966.63282,44563.96014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,-80,0,68781.47808,137562.9562,206344.4342,254260.7593,281473.6219,206354.2011,147163.1761,93457.8636,44581.0964,0,0,0,0,0,0,87642.32192,168660.4226,243588.8626,313035.094,377462.4795,364754.0924,352740.1972,341290.343,330492.6061,320267.1111,310261.9188,300779.1809,291756.6922,283185.9503,274995.4164,266537.7479,258486.74,250783.0664,243390.7244,236306.6097,228024.5064,220293.3984,212562.2905,204831.1826,197100.0746,189368.9667,181637.8588,173906.7509,166175.6429,158444.535
-80,-70,1396856814,1117485451,838114088.3,558742725.5,258184240.9,0,59035735.5,112271505.9,160423786.5,204066817.3,243540322.7,186168367.3,133563819.5,85274104.21,40876513.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-70,-60,0,74663915.56,149327831.1,223991746.7,276006046.9,305546250.6,229181820.9,169599183,115525417.8,66297535.5,21366893.75,68596337.29,111705620.5,151115200.5,187190142.3,220184894.6,170127708.6,123737343.4,80662973.16,40660756.87,3450329.697,3333961.279,3223954.976,3119117.362,3020252.35,2926628.902,2835101.557,2748354.618,2665819.198,2587417.161,2512494.452,31466992.75,58717941.55,84374241.89,108529645.9,131280756.5,159548902.5,185282776,211016649.4,236750522.8,262484396.3,288218269.7,313952143.1,339686016.6,365419890,391153763.4
