Annual Distance (miles/vehicle),2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
LDVs,4964,4284,3964,3585,4210,4575,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964,4964
HDVs,4188.871011,2680.705337,2118.421735,1563,2543,3272,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189,4189
aircraft,1422872.317,753696.1714,751927.8637,440739,1142150,1282511,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872,1422872
rail,1161177.77,1161177.77,1161177.77,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178,1161178
ships,753.9430834,753.9430834,753.9430834,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
motorbikes,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1832
