Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
chemicals 20,4.24986E+13,4.27215E+13,4.96568E+13,5.12631E+13,5.27524E+13,5.4157E+13,5.54993E+13,5.67601E+13,5.8002E+13,5.92269E+13,6.04364E+13,6.15304E+13,6.26077E+13,6.3669E+13,6.4715E+13,6.57452E+13,6.66867E+13,6.76838E+13,6.86634E+13,6.96244E+13,7.05655E+13,7.14375E+13,7.21582E+13,7.28009E+13,7.33627E+13,7.38399E+13,7.42297E+13,7.45297E+13,7.47374E+13,7.48501E+13,7.48657E+13,7.47821E+13,7.45152E+13,7.41464E+13,7.36747E+13,7.30995E+13,7.24204E+13,7.16369E+13,7.07495E+13,6.97587E+13,6.8666E+13,6.74729E+13
rubber and plastic products 22,1.36798E+12,1.36287E+12,1.55637E+12,1.58438E+12,1.60773E+12,1.62754E+12,1.64448E+12,1.65812E+12,1.67017E+12,1.68068E+12,1.68973E+12,1.69484E+12,1.69854E+12,1.70088E+12,1.70186E+12,1.70151E+12,1.69815E+12,1.69513E+12,1.69078E+12,1.68506E+12,1.67797E+12,1.66849E+12,1.65497E+12,1.63907E+12,1.62081E+12,1.60022E+12,1.57733E+12,1.55219E+12,1.52486E+12,1.49538E+12,1.46384E+12,1.4303E+12,1.39347E+12,1.35491E+12,1.31473E+12,1.27304E+12,1.22997E+12,1.18564E+12,1.1402E+12,1.09378E+12,1.04655E+12,9.98653E+11
cement and other nonmetallic minerals 239,8.41831E+11,8.30352E+11,8.91101E+11,8.85768E+11,8.78916E+11,8.71216E+11,8.63065E+11,8.54249E+11,8.4565E+11,8.37274E+11,8.29122E+11,8.19978E+11,8.11074E+11,8.02402E+11,7.93948E+11,7.85694E+11,7.76857E+11,7.68959E+11,7.61203E+11,7.53566E+11,7.46028E+11,7.3812E+11,7.29114E+11,7.19735E+11,7.09982E+11,6.99846E+11,6.89327E+11,6.78428E+11,6.67152E+11,6.55499E+11,6.43476E+11,6.31087E+11,6.17724E+11,6.04041E+11,5.9005E+11,5.75763E+11,5.61198E+11,5.46365E+11,5.31287E+11,5.15979E+11,5.00468E+11,4.84775E+11
iron and steel 241,1.73762E+13,1.73442E+13,1.82239E+13,1.84444E+13,1.86286E+13,1.87893E+13,1.89344E+13,1.90587E+13,1.91815E+13,1.93034E+13,1.94246E+13,1.95161E+13,1.9607E+13,1.96974E+13,1.97873E+13,1.98763E+13,1.99445E+13,2.00313E+13,2.01164E+13,2.01996E+13,2.02803E+13,2.03457E+13,2.03749E+13,2.03872E+13,2.03823E+13,2.03595E+13,2.03183E+13,2.02585E+13,2.01795E+13,2.00811E+13,1.99629E+13,1.98247E+13,1.96465E+13,1.94483E+13,1.92301E+13,1.8992E+13,1.87341E+13,1.84565E+13,1.81594E+13,1.78431E+13,1.75082E+13,1.71552E+13
other metals 242,3.3084E+13,3.30647E+13,3.47617E+13,3.5214E+13,3.55985E+13,3.59396E+13,3.62522E+13,3.65261E+13,3.67982E+13,3.70694E+13,3.73402E+13,3.75555E+13,3.77704E+13,3.7985E+13,3.81994E+13,3.84131E+13,3.85877E+13,3.87987E+13,3.90075E+13,3.92132E+13,3.9415E+13,3.95882E+13,3.9692E+13,3.97639E+13,3.98031E+13,3.98079E+13,3.97774E+13,3.97109E+13,3.96074E+13,3.94661E+13,3.92862E+13,3.90671E+13,3.87694E+13,3.84323E+13,3.80554E+13,3.76387E+13,3.71822E+13,3.6686E+13,3.61505E+13,3.5576E+13,3.49634E+13,3.43134E+13
metal products except machinery and vehicles 25,1.26275E+12,1.25438E+12,1.31184E+12,1.32088E+12,1.3261E+12,1.32846E+12,1.32856E+12,1.32607E+12,1.32238E+12,1.31754E+12,1.31157E+12,1.30257E+12,1.29253E+12,1.28147E+12,1.26938E+12,1.25628E+12,1.24095E+12,1.22583E+12,1.20968E+12,1.19249E+12,1.17425E+12,1.15424E+12,1.13137E+12,1.10684E+12,1.08069E+12,1.05295E+12,1.0237E+12,9.92995E+11,9.60913E+11,9.27527E+11,8.92927E+11,8.57203E+11,8.19636E+11,7.81227E+11,7.4209E+11,7.02344E+11,6.62114E+11,6.55497E+11,6.48072E+11,6.39839E+11,6.30812E+11,6.21003E+11
other manufacturing 31T33,2.42026E+12,2.36188E+12,2.75812E+12,2.91644E+12,3.06723E+12,3.21207E+12,3.35205E+12,3.48603E+12,3.61743E+12,3.74641E+12,3.87315E+12,3.99186E+12,4.10823E+12,4.22236E+12,4.33436E+12,4.44425E+12,4.54759E+12,4.65327E+12,4.75687E+12,4.85835E+12,4.95765E+12,5.05166E+12,5.13502E+12,5.21236E+12,5.28345E+12,5.34801E+12,5.40581E+12,5.45667E+12,5.50038E+12,5.53672E+12,5.56552E+12,5.5866E+12,5.59423E+12,5.59386E+12,5.5854E+12,5.56878E+12,5.54397E+12,5.51089E+12,5.4696E+12,5.42008E+12,5.36245E+12,5.2968E+12
glass and glass products 231,5.68236E+12,5.5495E+12,6.32018E+12,6.4553E+12,6.57248E+12,6.6761E+12,6.76889E+12,6.849E+12,6.92342E+12,6.99241E+12,7.0562E+12,7.10446E+12,7.14771E+12,7.18609E+12,7.21971E+12,7.24856E+12,7.26552E+12,7.28491E+12,7.2995E+12,7.30924E+12,7.31403E+12,7.30938E+12,7.28797E+12,7.25695E+12,7.21631E+12,7.16601E+12,7.10611E+12,7.03668E+12,6.95785E+12,6.8697E+12,6.77245E+12,6.66624E+12,6.54479E+12,6.41515E+12,6.27764E+12,6.13262E+12,5.98047E+12,5.82156E+12,5.65638E+12,5.48537E+12,5.30909E+12,5.12806E+12
road vehicles 29,6.31373E+11,5.84681E+11,7.22552E+11,7.36713E+11,7.49063E+11,7.60102E+11,7.7014E+11,7.78962E+11,7.87359E+11,7.95357E+11,8.02978E+11,8.09041E+11,8.14738E+11,8.2008E+11,8.25077E+11,8.29725E+11,8.33202E+11,8.37145E+11,8.40726E+11,8.43934E+11,8.46754E+11,8.48663E+11,8.488E+11,8.47982E+11,8.46199E+11,8.43434E+11,8.39682E+11,8.3494E+11,8.29208E+11,8.22482E+11,8.1477E+11,8.06075E+11,7.95613E+11,7.84217E+11,7.71904E+11,7.58697E+11,7.44623E+11,7.29706E+11,7.13983E+11,6.97487E+11,6.80263E+11,6.62353E+11
nonroad vehicles 30,4.84053E+12,4.48739E+12,5.55163E+12,5.66676E+12,5.76831E+12,5.86009E+12,5.94449E+12,6.01981E+12,6.09215E+12,6.1617E+12,6.22865E+12,6.2838E+12,6.3364E+12,6.38654E+12,6.43427E+12,6.47957E+12,6.51601E+12,6.55639E+12,6.59422E+12,6.62941E+12,6.66187E+12,6.68745E+12,6.69932E+12,6.70391E+12,6.70109E+12,6.6907E+12,6.67265E+12,6.64691E+12,6.61342E+12,6.57213E+12,6.52304E+12,6.46615E+12,6.3951E+12,6.31652E+12,6.2305E+12,6.13716E+12,6.03669E+12,5.92923E+12,5.81501E+12,5.69426E+12,5.56729E+12,5.43438E+12
appliances and electrical equipment 27,1.57843E+12,1.65964E+12,1.83065E+12,1.84349E+12,1.85194E+12,1.85733E+12,1.86048E+12,1.86091E+12,1.86053E+12,1.85939E+12,1.85753E+12,1.85223E+12,1.84626E+12,1.83964E+12,1.83238E+12,1.82445E+12,1.81406E+12,1.80479E+12,1.79479E+12,1.78405E+12,1.77253E+12,1.75914E+12,1.74214E+12,1.72328E+12,1.70257E+12,1.68001E+12,1.65563E+12,1.62946E+12,1.60153E+12,1.57189E+12,1.54059E+12,1.50767E+12,1.47173E+12,1.43438E+12,1.39571E+12,1.3558E+12,1.31474E+12,1.27263E+12,1.22957E+12,1.18567E+12,1.14106E+12,1.09584E+12
computers and electronics 26,3.05164E+12,2.86356E+12,3.29251E+12,3.30087E+12,3.29633E+12,3.2814E+12,3.25766E+12,3.22443E+12,3.18517E+12,3.14004E+12,3.08917E+12,3.02819E+12,2.96185E+12,2.89024E+12,2.81343E+12,2.73146E+12,2.64175E+12,2.54964E+12,2.58623E+12,2.62222E+12,2.65757E+12,2.6906E+12,2.71851E+12,2.74379E+12,2.76633E+12,2.78601E+12,2.80273E+12,2.81639E+12,2.82692E+12,2.83421E+12,2.83819E+12,2.83877E+12,2.83306E+12,2.82385E+12,2.81109E+12,2.79476E+12,2.77483E+12,2.75129E+12,2.72415E+12,2.6934E+12,2.6591E+12,2.62129E+12
other machinery 28,3.15687E+11,3.24393E+11,3.53394E+11,3.62267E+11,3.7039E+11,3.78E+11,3.85243E+11,3.92005E+11,3.98677E+11,4.05271E+11,4.11797E+11,4.17645E+11,4.2342E+11,4.29127E+11,4.3477E+11,4.40346E+11,4.45415E+11,4.50847E+11,4.56201E+11,4.61469E+11,4.66644E+11,4.7143E+11,4.75339E+11,4.78809E+11,4.81825E+11,4.84364E+11,4.86413E+11,4.87955E+11,4.88978E+11,4.89465E+11,4.89405E+11,4.88784E+11,4.87106E+11,4.84854E+11,4.82021E+11,4.78603E+11,4.74598E+11,4.70002E+11,4.64819E+11,4.59049E+11,4.52703E+11,4.45787E+11
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy pipelines and gas processing 352T353,1.05229E+11,1.0036E+11,1.21836E+11,1.30397E+11,1.38616E+11,1.46557E+11,1.54267E+11,1.61691E+11,1.68986E+11,1.7616E+11,1.83222E+11,1.89897E+11,1.96454E+11,2.02899E+11,2.09236E+11,2.15468E+11,2.21379E+11,2.274E+11,2.33319E+11,2.39134E+11,2.44841E+11,2.50286E+11,2.55203E+11,2.59817E+11,2.64117E+11,2.68085E+11,2.71711E+11,2.74981E+11,2.77885E+11,2.8041E+11,2.82545E+11,2.84279E+11,2.85319E+11,2.85939E+11,2.86132E+11,2.85894E+11,2.85221E+11,2.84108E+11,2.82554E+11,2.80559E+11,2.78126E+11,2.75258E+11
construction 41T43,3.71004E+11,3.99021E+11,4.2771E+11,4.25477E+11,4.22936E+11,4.19674E+11,4.15787E+11,4.11712E+11,4.07131E+11,4.02427E+11,3.97321E+11,3.91876E+11,3.86392E+11,3.80648E+11,3.74693E+11,3.68763E+11,3.62679E+11,3.56652E+11,3.50519E+11,3.4431E+11,3.38191E+11,3.32028E+11,3.25841E+11,3.19762E+11,3.13679E+11,3.07707E+11,3.01742E+11,2.95793E+11,2.89952E+11,2.8413E+11,2.78408E+11,2.72701E+11,2.67012E+11,2.61405E+11,2.56959E+11,2.51402E+11,2.45843E+11,2.40277E+11,2.3475E+11,2.292E+11,2.23668E+11,2.18097E+11
