Unit: BTU,2.02E+03,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
chemicals 20,3.40E+13,3.46756E+13,3.92178E+13,4.01714E+13,4.10632E+13,4.19191E+13,4.27481E+13,4.35448E+13,4.43321E+13,4.51118E+13,4.58854E+13,4.66182E+13,4.73457E+13,4.80689E+13,4.87884E+13,4.95047E+13,5.01914E+13,5.09017E+13,5.16091E+13,5.23136E+13,5.30148E+13,5.36942E+13,5.43204E+13,5.49205E+13,5.54931E+13,5.60365E+13,5.6549E+13,5.70292E+13,5.74757E+13,5.78867E+13,5.82609E+13,5.85968E+13,5.88596E+13,5.90812E+13,5.92605E+13,5.93965E+13,5.94882E+13,5.95347E+13,5.95354E+13,5.94897E+13,5.93974E+13,5.92582E+13
rubber and plastic products 22,1.08E+13,1.09874E+13,1.2772E+13,1.32375E+13,1.36792E+13,1.41053E+13,1.45207E+13,1.49209E+13,1.53203E+13,1.57195E+13,1.61189E+13,1.64944E+13,1.68695E+13,1.72445E+13,1.76194E+13,1.79942E+13,1.83508E+13,1.87248E+13,1.90983E+13,1.94708E+13,1.98421E+13,2.01995E+13,2.05215E+13,2.08265E+13,2.11133E+13,2.13807E+13,2.16276E+13,2.18528E+13,2.20554E+13,2.22341E+13,2.23879E+13,2.25159E+13,2.25944E+13,2.26449E+13,2.26668E+13,2.26592E+13,2.26216E+13,2.25532E+13,2.24537E+13,2.23225E+13,2.21596E+13,2.19648E+13
cement and other nonmetallic minerals 239,4.16E+12,4.1362E+12,4.47928E+12,4.49323E+12,4.49943E+12,4.50113E+12,4.50029E+12,4.4957E+12,4.49195E+12,4.48909E+12,4.48716E+12,4.47953E+12,4.47286E+12,4.46711E+12,4.46225E+12,4.45819E+12,4.45047E+12,4.4478E+12,4.44567E+12,4.44397E+12,4.44258E+12,4.4387E+12,4.42783E+12,4.41422E+12,4.39777E+12,4.37836E+12,4.3559E+12,4.33031E+12,4.30153E+12,4.26946E+12,4.23406E+12,4.19526E+12,4.14887E+12,4.09911E+12,4.04596E+12,3.98941E+12,3.92948E+12,3.86616E+12,3.7995E+12,3.72953E+12,3.65634E+12,3.58001E+12
iron and steel 241,4.82E+13,4.85206E+13,5.11622E+13,5.20617E+13,5.28728E+13,5.36303E+13,5.43544E+13,5.503E+13,5.57098E+13,5.63948E+13,5.70861E+13,5.77025E+13,5.83242E+13,5.89515E+13,5.95845E+13,6.02224E+13,6.08072E+13,6.14529E+13,6.21013E+13,6.27509E+13,6.34006E+13,6.40116E+13,6.45196E+13,6.49818E+13,6.53957E+13,6.57582E+13,6.60669E+13,6.63193E+13,6.65132E+13,6.6646E+13,6.67155E+13,6.67195E+13,6.65919E+13,6.63953E+13,6.61282E+13,6.57892E+13,6.53775E+13,6.48915E+13,6.4331E+13,6.36952E+13,6.29845E+13,6.21989E+13
other metals 242,1.80E+12,1.81412E+12,1.91399E+12,1.94811E+12,1.9789E+12,2.00766E+12,2.03515E+12,2.06081E+12,2.08661E+12,2.11261E+12,2.13885E+12,2.16224E+12,2.18583E+12,2.20963E+12,2.23364E+12,2.25783E+12,2.28001E+12,2.30448E+12,2.32905E+12,2.35367E+12,2.37828E+12,2.40143E+12,2.42067E+12,2.43818E+12,2.45386E+12,2.46759E+12,2.47928E+12,2.48884E+12,2.49618E+12,2.5012E+12,2.50383E+12,2.50398E+12,2.49915E+12,2.4917E+12,2.48158E+12,2.46875E+12,2.45315E+12,2.43475E+12,2.41352E+12,2.38945E+12,2.36253E+12,2.33279E+12
metal products except machinery and vehicles 25,1.39E+13,1.40889E+13,1.50586E+13,1.55019E+13,1.59177E+13,1.63156E+13,1.67018E+13,1.70712E+13,1.74405E+13,1.78102E+13,1.81807E+13,1.8525E+13,1.88695E+13,1.92146E+13,1.95603E+13,1.99064E+13,2.0233E+13,2.05794E+13,2.09256E+13,2.12713E+13,2.16161E+13,2.19461E+13,2.22383E+13,2.25126E+13,2.27681E+13,2.30034E+13,2.32173E+13,2.3409E+13,2.35773E+13,2.3721E+13,2.38393E+13,2.3931E+13,2.39713E+13,2.39832E+13,2.3966E+13,2.3919E+13,2.38416E+13,2.36033E+13,2.33359E+13,2.30395E+13,2.27145E+13,2.23612E+13
other manufacturing 31T33,7.23E+12,7.10335E+12,8.34918E+12,8.88612E+12,9.40665E+12,9.91536E+12,1.04153E+13,1.09026E+13,1.13879E+13,1.18715E+13,1.23538E+13,1.28163E+13,1.3277E+13,1.37359E+13,1.41935E+13,1.46496E+13,1.50896E+13,1.55426E+13,1.59942E+13,1.6444E+13,1.68917E+13,1.73267E+13,1.77301E+13,1.81174E+13,1.84873E+13,1.88384E+13,1.91697E+13,1.94798E+13,1.97678E+13,2.00323E+13,2.02721E+13,2.04861E+13,2.06526E+13,2.07908E+13,2.08999E+13,2.09789E+13,2.10271E+13,2.10437E+13,2.10281E+13,2.09797E+13,2.08982E+13,2.07833E+13
glass and glass products 231,1.23E+13,1.22309E+13,1.41415E+13,1.46658E+13,1.51638E+13,1.56444E+13,1.61131E+13,1.65648E+13,1.70157E+13,1.74662E+13,1.79169E+13,1.8341E+13,1.87646E+13,1.91879E+13,1.96112E+13,2.00343E+13,2.0437E+13,2.08591E+13,2.12806E+13,2.1701E+13,2.212E+13,2.25234E+13,2.28873E+13,2.32322E+13,2.35568E+13,2.38596E+13,2.41394E+13,2.4395E+13,2.46253E+13,2.48288E+13,2.50045E+13,2.51512E+13,2.52425E+13,2.53025E+13,2.53304E+13,2.53252E+13,2.52863E+13,2.5213E+13,2.51046E+13,2.49608E+13,2.47814E+13,2.45662E+13
road vehicles 29,8.10E+12,7.59365E+12,9.49877E+12,9.80388E+12,1.00915E+13,1.03677E+13,1.06364E+13,1.08941E+13,1.11515E+13,1.14091E+13,1.16671E+13,1.1908E+13,1.2149E+13,1.23901E+13,1.26314E+13,1.28728E+13,1.31015E+13,1.33428E+13,1.35839E+13,1.38246E+13,1.40645E+13,1.42947E+13,1.45002E+13,1.46938E+13,1.48749E+13,1.50426E+13,1.51962E+13,1.53349E+13,1.54581E+13,1.55649E+13,1.56548E+13,1.57269E+13,1.57649E+13,1.5784E+13,1.57835E+13,1.5763E+13,1.57222E+13,1.56605E+13,1.55777E+13,1.54736E+13,1.5348E+13,1.52009E+13
nonroad vehicles 30,6.31E+12,5.91168E+12,7.39482E+12,7.63235E+12,7.85626E+12,8.0713E+12,8.28043E+12,8.48106E+12,8.68151E+12,8.88204E+12,9.08287E+12,9.27043E+12,9.458E+12,9.64569E+12,9.83355E+12,1.00215E+13,1.01995E+13,1.03874E+13,1.05751E+13,1.07625E+13,1.09493E+13,1.11285E+13,1.12884E+13,1.14392E+13,1.15802E+13,1.17107E+13,1.18303E+13,1.19383E+13,1.20342E+13,1.21173E+13,1.21873E+13,1.22434E+13,1.2273E+13,1.22879E+13,1.22875E+13,1.22716E+13,1.22398E+13,1.21918E+13,1.21273E+13,1.20462E+13,1.19485E+13,1.1834E+13
appliances and electrical equipment 27,6.30E+12,6.73343E+12,7.54564E+12,7.72097E+12,7.88265E+12,8.03574E+12,8.18333E+12,8.32297E+12,8.46291E+12,8.60338E+12,8.74454E+12,8.87336E+12,9.00268E+12,9.13257E+12,9.26303E+12,9.39399E+12,9.51599E+12,9.64761E+12,9.77937E+12,9.9111E+12,1.00426E+13,1.01675E+13,1.0275E+13,1.03747E+13,1.0466E+13,1.05484E+13,1.06215E+13,1.06847E+13,1.07377E+13,1.07801E+13,1.08113E+13,1.0831E+13,1.0828E+13,1.08129E+13,1.07852E+13,1.07447E+13,1.06913E+13,1.06246E+13,1.05446E+13,1.04511E+13,1.03441E+13,1.02237E+13
computers and electronics 26,2.02E+13,1.95196E+13,2.31812E+13,2.40243E+13,2.48242E+13,2.55957E+13,2.63479E+13,2.70724E+13,2.77956E+13,2.85184E+13,2.92416E+13,2.99213E+13,3.06005E+13,3.12793E+13,3.19581E+13,3.26367E+13,3.32822E+13,3.39595E+13,3.44462E+13,3.4925E+13,3.53953E+13,3.58347E+13,3.62058E+13,3.6542E+13,3.68417E+13,3.71033E+13,3.73255E+13,3.75071E+13,3.76469E+13,3.77436E+13,3.77962E+13,3.78035E+13,3.77271E+13,3.7604E+13,3.74338E+13,3.7216E+13,3.69504E+13,3.66366E+13,3.62749E+13,3.58652E+13,3.54082E+13,3.49044E+13
other machinery 28,1.20E+13,1.23773E+13,1.34838E+13,1.38223E+13,1.41323E+13,1.44226E+13,1.4699E+13,1.4957E+13,1.52116E+13,1.54632E+13,1.57122E+13,1.59353E+13,1.61556E+13,1.63734E+13,1.65887E+13,1.68015E+13,1.69949E+13,1.72021E+13,1.74064E+13,1.76074E+13,1.78048E+13,1.79875E+13,1.81366E+13,1.8269E+13,1.83841E+13,1.8481E+13,1.85591E+13,1.8618E+13,1.8657E+13,1.86756E+13,1.86733E+13,1.86496E+13,1.85856E+13,1.84997E+13,1.83916E+13,1.82612E+13,1.81083E+13,1.7933E+13,1.77352E+13,1.75151E+13,1.72729E+13,1.70091E+13
water and waste 36T39,5.30E+12,5.27388E+12,5.84279E+12,5.92395E+12,5.99374E+12,6.05623E+12,6.11391E+12,6.16507E+12,6.21591E+12,6.26659E+12,6.3172E+12,6.35841E+12,6.39954E+12,6.44061E+12,6.48163E+12,6.52253E+12,6.55678E+12,6.59721E+12,6.63725E+12,6.67678E+12,6.71565E+12,6.74963E+12,6.77178E+12,6.7885E+12,6.79958E+12,6.80478E+12,6.80392E+12,6.79684E+12,6.78342E+12,6.76344E+12,6.73682E+12,6.7034E+12,6.65645E+12,6.60263E+12,6.54189E+12,6.47422E+12,6.39961E+12,6.31805E+12,6.22961E+12,6.13433E+12,6.03235E+12,5.9238E+12
energy pipelines and gas processing 352T353,5.25E+11,5.03847E+11,6.1515E+11,6.62131E+11,7.07875E+11,7.52698E+11,7.96812E+11,8.39923E+11,8.82823E+11,9.25553E+11,9.68151E+11,1.00915E+12,1.04996E+12,1.0906E+12,1.13108E+12,1.17143E+12,1.21044E+12,1.25047E+12,1.29036E+12,1.33008E+12,1.36961E+12,1.40808E+12,1.44395E+12,1.47848E+12,1.51155E+12,1.54304E+12,1.57287E+12,1.60092E+12,1.6271E+12,1.65129E+12,1.6734E+12,1.69333E+12,1.70927E+12,1.72281E+12,1.73387E+12,1.74237E+12,1.74824E+12,1.75142E+12,1.75185E+12,1.74947E+12,1.74427E+12,1.7362E+12
construction 41T43,1.60E+13,1.72426E+13,1.865E+13,1.87217E+13,1.87802E+13,1.88067E+13,1.88046E+13,1.8793E+13,1.87571E+13,1.8714E+13,1.86503E+13,1.85686E+13,1.84826E+13,1.83816E+13,1.82675E+13,1.81517E+13,1.80251E+13,1.78981E+13,1.77624E+13,1.76193E+13,1.74772E+13,1.73292E+13,1.71761E+13,1.7025E+13,1.68697E+13,1.67165E+13,1.65597E+13,1.63998E+13,1.62419E+13,1.6081E+13,1.59216E+13,1.5759E+13,1.55932E+13,1.54278E+13,1.53169E+13,1.51466E+13,1.49718E+13,1.4792E+13,1.46098E+13,1.44215E+13,1.42294E+13,1.40297E+13
