Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
chemicals 20,3.72519E+13,3.74295E+13,4.35419E+13,4.4961E+13,4.62763E+13,4.75164E+13,4.87011E+13,4.98133E+13,5.09087E+13,5.19891E+13,5.30557E+13,5.40193E+13,5.4968E+13,5.59025E+13,5.68232E+13,5.77298E+13,5.85573E+13,5.94342E+13,6.02954E+13,6.11399E+13,6.19665E+13,6.27314E+13,6.33615E+13,6.3922E+13,6.44103E+13,6.48231E+13,6.51581E+13,6.5413E+13,6.55858E+13,6.56738E+13,6.56755E+13,6.55887E+13,6.53389E+13,6.49984E+13,6.45665E+13,6.40424E+13,6.3426E+13,6.27167E+13,6.19152E+13,6.10218E+13,6.0038E+13,5.8965E+13
rubber and plastic products 22,7.46485E+11,7.43701E+11,8.49291E+11,8.64572E+11,8.77316E+11,8.88124E+11,8.97368E+11,9.04812E+11,9.11385E+11,9.17125E+11,9.22061E+11,9.24849E+11,9.2687E+11,9.28143E+11,9.28682E+11,9.28489E+11,9.26654E+11,9.2501E+11,9.22632E+11,9.19513E+11,9.15646E+11,9.1047E+11,9.03091E+11,8.94415E+11,8.84455E+11,8.73218E+11,8.60727E+11,8.47008E+11,8.32092E+11,8.16007E+11,7.98795E+11,7.80495E+11,7.60398E+11,7.39356E+11,7.17429E+11,6.94679E+11,6.71176E+11,6.46986E+11,6.22188E+11,5.96859E+11,5.71085E+11,5.4495E+11
cement and other nonmetallic minerals 239,5.98929E+11,5.90762E+11,6.33983E+11,6.30189E+11,6.25314E+11,6.19835E+11,6.14036E+11,6.07764E+11,6.01646E+11,5.95687E+11,5.89888E+11,5.83382E+11,5.77047E+11,5.70877E+11,5.64863E+11,5.5899E+11,5.52703E+11,5.47084E+11,5.41566E+11,5.36133E+11,5.30769E+11,5.25143E+11,5.18735E+11,5.12063E+11,5.05124E+11,4.97913E+11,4.90429E+11,4.82675E+11,4.74652E+11,4.66361E+11,4.57807E+11,4.48993E+11,4.39486E+11,4.29751E+11,4.19797E+11,4.09633E+11,3.9927E+11,3.88717E+11,3.77989E+11,3.67099E+11,3.56063E+11,3.44898E+11
iron and steel 241,4.63063E+12,4.62159E+12,4.85574E+12,4.9141E+12,4.96276E+12,5.00515E+12,5.04337E+12,5.07601E+12,5.10826E+12,5.14024E+12,5.17204E+12,5.19592E+12,5.21963E+12,5.24318E+12,5.26658E+12,5.28975E+12,5.30736E+12,5.32992E+12,5.35203E+12,5.3736E+12,5.39451E+12,5.41134E+12,5.41849E+12,5.42117E+12,5.41926E+12,5.41258E+12,5.40101E+12,5.38446E+12,5.36284E+12,5.33603E+12,5.30398E+12,5.2666E+12,5.21858E+12,5.16526E+12,5.10664E+12,5.04273E+12,4.97357E+12,4.89917E+12,4.81963E+12,4.735E+12,4.64545E+12,4.55108E+12
other metals 242,5.19785E+12,5.19481E+12,5.46142E+12,5.53247E+12,5.59286E+12,5.64644E+12,5.69554E+12,5.73855E+12,5.78129E+12,5.82389E+12,5.86642E+12,5.90023E+12,5.93397E+12,5.96768E+12,6.00135E+12,6.03491E+12,6.06232E+12,6.09546E+12,6.12824E+12,6.16055E+12,6.19224E+12,6.21943E+12,6.23572E+12,6.24701E+12,6.25314E+12,6.25387E+12,6.24907E+12,6.2386E+12,6.22234E+12,6.20011E+12,6.17184E+12,6.13739E+12,6.09061E+12,6.03763E+12,5.9784E+12,5.91292E+12,5.8412E+12,5.76323E+12,5.67908E+12,5.58881E+12,5.49255E+12,5.39043E+12
metal products except machinery and vehicles 25,1.51562E+11,1.50559E+11,1.57454E+11,1.58539E+11,1.59166E+11,1.59449E+11,1.59462E+11,1.59163E+11,1.5872E+11,1.58138E+11,1.57422E+11,1.56342E+11,1.55137E+11,1.53809E+11,1.52359E+11,1.50787E+11,1.48946E+11,1.47131E+11,1.45193E+11,1.4313E+11,1.4094E+11,1.38539E+11,1.35794E+11,1.3285E+11,1.2971E+11,1.26382E+11,1.2287E+11,1.19185E+11,1.15334E+11,1.11327E+11,1.07174E+11,1.02886E+11,98377450912,93767437209,89069990501,84299440483,79470810348,78676624548,77785325654,76797198476,75713791686,74536363611
other manufacturing 31T33,81732076639,79760381838,93141408863,98487946682,1.0358E+11,1.08471E+11,1.13198E+11,1.17723E+11,1.2216E+11,1.26516E+11,1.30796E+11,1.34805E+11,1.38734E+11,1.42589E+11,1.46371E+11,1.50082E+11,1.53572E+11,1.5714E+11,1.60639E+11,1.64066E+11,1.67419E+11,1.70594E+11,1.73409E+11,1.76021E+11,1.78421E+11,1.80602E+11,1.82554E+11,1.84271E+11,1.85747E+11,1.86974E+11,1.87947E+11,1.88659E+11,1.88917E+11,1.88904E+11,1.88618E+11,1.88057E+11,1.87219E+11,1.86102E+11,1.84708E+11,1.83036E+11,1.81089E+11,1.78872E+11
glass and glass products 231,2.27171E+11,2.2186E+11,2.5267E+11,2.58072E+11,2.62756E+11,2.66899E+11,2.70608E+11,2.73811E+11,2.76786E+11,2.79544E+11,2.82095E+11,2.84024E+11,2.85753E+11,2.87288E+11,2.88631E+11,2.89785E+11,2.90463E+11,2.91238E+11,2.91821E+11,2.92211E+11,2.92402E+11,2.92216E+11,2.9136E+11,2.9012E+11,2.88496E+11,2.86485E+11,2.8409E+11,2.81314E+11,2.78163E+11,2.74639E+11,2.70751E+11,2.66505E+11,2.61649E+11,2.56467E+11,2.50969E+11,2.45171E+11,2.39089E+11,2.32736E+11,2.26132E+11,2.19296E+11,2.12248E+11,2.05011E+11
road vehicles 29,7.09269E+11,6.56816E+11,8.11697E+11,8.27605E+11,8.41478E+11,8.53879E+11,8.65156E+11,8.75067E+11,8.84499E+11,8.93484E+11,9.02045E+11,9.08856E+11,9.15256E+11,9.21258E+11,9.26871E+11,9.32092E+11,9.35998E+11,9.40428E+11,9.44451E+11,9.48054E+11,9.51223E+11,9.53367E+11,9.5352E+11,9.52601E+11,9.50599E+11,9.47493E+11,9.43278E+11,9.3795E+11,9.31511E+11,9.23955E+11,9.15292E+11,9.05524E+11,8.93772E+11,8.8097E+11,8.67137E+11,8.52301E+11,8.3649E+11,8.19733E+11,8.0207E+11,7.83539E+11,7.6419E+11,7.44071E+11
nonroad vehicles 30,1.58518E+11,1.46953E+11,1.81805E+11,1.85575E+11,1.88901E+11,1.91907E+11,1.9467E+11,1.97137E+11,1.99506E+11,2.01784E+11,2.03976E+11,2.05782E+11,2.07505E+11,2.09147E+11,2.1071E+11,2.12193E+11,2.13387E+11,2.14709E+11,2.15948E+11,2.171E+11,2.18163E+11,2.19001E+11,2.1939E+11,2.1954E+11,2.19448E+11,2.19107E+11,2.18516E+11,2.17673E+11,2.16577E+11,2.15224E+11,2.13617E+11,2.11754E+11,2.09427E+11,2.06854E+11,2.04037E+11,2.0098E+11,1.9769E+11,1.94171E+11,1.9043E+11,1.86476E+11,1.82318E+11,1.77965E+11
appliances and electrical equipment 27,3.36345E+11,3.5365E+11,3.9009E+11,3.92825E+11,3.94626E+11,3.95776E+11,3.96447E+11,3.96538E+11,3.96456E+11,3.96213E+11,3.95817E+11,3.94687E+11,3.93416E+11,3.92006E+11,3.90458E+11,3.88769E+11,3.86555E+11,3.84579E+11,3.82449E+11,3.80159E+11,3.77704E+11,3.74851E+11,3.71229E+11,3.6721E+11,3.62797E+11,3.5799E+11,3.52795E+11,3.47218E+11,3.41268E+11,3.34951E+11,3.2828E+11,3.21266E+11,3.13607E+11,3.0565E+11,2.97409E+11,2.88905E+11,2.80156E+11,2.71182E+11,2.62007E+11,2.52652E+11,2.43145E+11,2.33511E+11
computers and electronics 26,3.84357E+11,3.60669E+11,4.14695E+11,4.15748E+11,4.15176E+11,4.13296E+11,4.10306E+11,4.0612E+11,4.01175E+11,3.95491E+11,3.89085E+11,3.81404E+11,3.73049E+11,3.64029E+11,3.54355E+11,3.4403E+11,3.32731E+11,3.2113E+11,3.25739E+11,3.30272E+11,3.34724E+11,3.38885E+11,3.42399E+11,3.45583E+11,3.48422E+11,3.50901E+11,3.53006E+11,3.54728E+11,3.56054E+11,3.56972E+11,3.57473E+11,3.57546E+11,3.56827E+11,3.55666E+11,3.5406E+11,3.52003E+11,3.49493E+11,3.46528E+11,3.43109E+11,3.39237E+11,3.34917E+11,3.30154E+11
other machinery 28,16370195391,16821665500,18325554148,18785658803,19206897092,19601518299,19977110271,20327752759,20673728867,21015670741,21354091952,21657308197,21956782308,22252752529,22545378989,22834526360,23097358572,23379040524,23656671104,23929867109,24198195171,24446409083,24649077066,24829039793,24985417818,25117116614,25223330953,25303308244,25356356393,25381597803,25378483294,25346293757,25259309451,25142527162,24995616437,24818363295,24610676776,24372348610,24103557746,23804381534,23475289897,23116663809
water and waste 36T39,39729351306,40337823364,44067592964,44918649563,45673320117,46361879188,47002956497,47583160906,48150392050,48706053147,49251256644,49713194645,50164703518,50606253981,51038139856,51459991631,51820522804,52221249965,52610541830,52987534200,53351271922,53668301268,53883474825,54047658770,54159450242,54217010420,54219158539,54164852380,54053202947,53882949816,53653556117,53364145190,52961445580,52498974853,51976717279,51394910662,50754055223,50054415167,49297055947,48482832565,47613396583,46690207274
energy pipelines and gas processing 352T353,5.23463E+11,4.99242E+11,6.06074E+11,6.48664E+11,6.89547E+11,7.29053E+11,7.67405E+11,8.04336E+11,8.40623E+11,8.7631E+11,9.11439E+11,9.44647E+11,9.77265E+11,1.00932E+12,1.04085E+12,1.07185E+12,1.10125E+12,1.13121E+12,1.16065E+12,1.18958E+12,1.21797E+12,1.24505E+12,1.26951E+12,1.29247E+12,1.31385E+12,1.3336E+12,1.35163E+12,1.3679E+12,1.38235E+12,1.3949E+12,1.40553E+12,1.41415E+12,1.41932E+12,1.42241E+12,1.42337E+12,1.42219E+12,1.41884E+12,1.4133E+12,1.40557E+12,1.39565E+12,1.38355E+12,1.36928E+12
construction 41T43,51182124624,55047272069,59005154073,58697117769,58346517853,57896499152,57360294553,56798069495,56166139890,55517213163,54812783444,54061606623,53305071607,52512680376,51691067924,50872961956,50033732803,49202187632,48356116391,47499551295,46655383698,45805164560,44951659636,44113078337,43273839800,42449946324,41627058188,40806378403,40000622806,39197431843,38407959141,37620744895,36835924792,36062339845,35449014713,34682406809,33915466188,33147654238,32385081397,31619543661,30856329946,30087784737
