Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
rubber and plastic products 22,1.0349E+12,1.03104E+12,1.17743E+12,1.19861E+12,1.21628E+12,1.23126E+12,1.24408E+12,1.2544E+12,1.26351E+12,1.27147E+12,1.27831E+12,1.28218E+12,1.28498E+12,1.28675E+12,1.28749E+12,1.28723E+12,1.28468E+12,1.2824E+12,1.27911E+12,1.27478E+12,1.26942E+12,1.26225E+12,1.25202E+12,1.23999E+12,1.22618E+12,1.2106E+12,1.19328E+12,1.17426E+12,1.15358E+12,1.13128E+12,1.10742E+12,1.08205E+12,1.05419E+12,1.02502E+12,9.94619E+11,9.63079E+11,9.30495E+11,8.9696E+11,8.62581E+11,8.27465E+11,7.91733E+11,7.55501E+11
cement and other nonmetallic minerals 239,2.80636E+12,2.76809E+12,2.9706E+12,2.95283E+12,2.92998E+12,2.90432E+12,2.87714E+12,2.84775E+12,2.81909E+12,2.79117E+12,2.76399E+12,2.73351E+12,2.70383E+12,2.67491E+12,2.64673E+12,2.61922E+12,2.58976E+12,2.56343E+12,2.53757E+12,2.51212E+12,2.48698E+12,2.46062E+12,2.4306E+12,2.39933E+12,2.36682E+12,2.33303E+12,2.29797E+12,2.26163E+12,2.22404E+12,2.18519E+12,2.14511E+12,2.10381E+12,2.05927E+12,2.01365E+12,1.96701E+12,1.91939E+12,1.87083E+12,1.82138E+12,1.77112E+12,1.72009E+12,1.66838E+12,1.61606E+12
iron and steel 241,4.42735E+12,4.42209E+12,4.6478E+12,4.70626E+12,4.75555E+12,4.79896E+12,4.83847E+12,4.87273E+12,4.9067E+12,4.94049E+12,4.97417E+12,5.00035E+12,5.02644E+12,5.05244E+12,5.07835E+12,5.10412E+12,5.12461E+12,5.14992E+12,5.17488E+12,5.19937E+12,5.2233E+12,5.24335E+12,5.25414E+12,5.26066E+12,5.26279E+12,5.26034E+12,5.25319E+12,5.24124E+12,5.22439E+12,5.20251E+12,5.17554E+12,5.14339E+12,5.10087E+12,5.05317E+12,5.00025E+12,4.94213E+12,4.87881E+12,4.81032E+12,4.73671E+12,4.65804E+12,4.57444E+12,4.48602E+12
other metals 242,4.59062E+11,4.58794E+11,4.8234E+11,4.88615E+11,4.93949E+11,4.98681E+11,5.03017E+11,5.06816E+11,5.10591E+11,5.14352E+11,5.18109E+11,5.21095E+11,5.24075E+11,5.27052E+11,5.30026E+11,5.32989E+11,5.3541E+11,5.38337E+11,5.41233E+11,5.44086E+11,5.46885E+11,5.49286E+11,5.50724E+11,5.51721E+11,5.52263E+11,5.52328E+11,5.51904E+11,5.50979E+11,5.49542E+11,5.47579E+11,5.45082E+11,5.4204E+11,5.37909E+11,5.3323E+11,5.27999E+11,5.22216E+11,5.15881E+11,5.08995E+11,5.01563E+11,4.93591E+11,4.8509E+11,4.76071E+11
metal products except machinery and vehicles 25,2.06996E+12,2.05625E+12,2.15043E+12,2.16525E+12,2.17381E+12,2.17768E+12,2.17784E+12,2.17377E+12,2.16772E+12,2.15977E+12,2.14999E+12,2.13525E+12,2.11879E+12,2.10065E+12,2.08084E+12,2.05937E+12,2.03422E+12,2.00944E+12,1.98297E+12,1.95479E+12,1.92489E+12,1.89209E+12,1.85461E+12,1.81439E+12,1.77152E+12,1.72606E+12,1.6781E+12,1.62777E+12,1.57518E+12,1.52045E+12,1.46373E+12,1.40517E+12,1.34359E+12,1.28063E+12,1.21647E+12,1.15132E+12,1.08537E+12,1.07453E+12,1.06235E+12,1.04886E+12,1.03406E+12,1.01798E+12
other manufacturing 31T33,2.15157E+12,2.09966E+12,2.45191E+12,2.59266E+12,2.7267E+12,2.85547E+12,2.9799E+12,3.09901E+12,3.21582E+12,3.33048E+12,3.44315E+12,3.54868E+12,3.65213E+12,3.7536E+12,3.85316E+12,3.95085E+12,4.04271E+12,4.13666E+12,4.22876E+12,4.31897E+12,4.40725E+12,4.49082E+12,4.56493E+12,4.63368E+12,4.69688E+12,4.75427E+12,4.80566E+12,4.85087E+12,4.88973E+12,4.92203E+12,4.94764E+12,4.96638E+12,4.97316E+12,4.97283E+12,4.96531E+12,4.95053E+12,4.92847E+12,4.89907E+12,4.86236E+12,4.81834E+12,4.76711E+12,4.70875E+12
glass and glass products 231,6.88716E+11,6.72614E+11,7.66022E+11,7.82398E+11,7.96601E+11,8.0916E+11,8.20406E+11,8.30117E+11,8.39136E+11,8.47497E+11,8.5523E+11,8.61079E+11,8.66321E+11,8.70973E+11,8.75047E+11,8.78544E+11,8.806E+11,8.82949E+11,8.84718E+11,8.85898E+11,8.86479E+11,8.85915E+11,8.8332E+11,8.79561E+11,8.74636E+11,8.68539E+11,8.61278E+11,8.52863E+11,8.43308E+11,8.32625E+11,8.20838E+11,8.07965E+11,7.93245E+11,7.77533E+11,7.60866E+11,7.43289E+11,7.24848E+11,7.05588E+11,6.85567E+11,6.64841E+11,6.43475E+11,6.21533E+11
road vehicles 29,1.41954E+12,1.31456E+12,1.62454E+12,1.65638E+12,1.68415E+12,1.70896E+12,1.73153E+12,1.75137E+12,1.77025E+12,1.78823E+12,1.80537E+12,1.819E+12,1.8318E+12,1.84382E+12,1.85505E+12,1.8655E+12,1.87332E+12,1.88218E+12,1.89024E+12,1.89745E+12,1.90379E+12,1.90808E+12,1.90839E+12,1.90655E+12,1.90254E+12,1.89632E+12,1.88789E+12,1.87723E+12,1.86434E+12,1.84922E+12,1.83188E+12,1.81233E+12,1.78881E+12,1.76318E+12,1.7355E+12,1.70581E+12,1.67416E+12,1.64062E+12,1.60527E+12,1.56818E+12,1.52946E+12,1.48919E+12
nonroad vehicles 30,3.48773E+11,3.23328E+11,4.0001E+11,4.08305E+11,4.15622E+11,4.22235E+11,4.28316E+11,4.33743E+11,4.38955E+11,4.43967E+11,4.48791E+11,4.52765E+11,4.56555E+11,4.60167E+11,4.63606E+11,4.6687E+11,4.69496E+11,4.72405E+11,4.75131E+11,4.77667E+11,4.80006E+11,4.81848E+11,4.82704E+11,4.83035E+11,4.82831E+11,4.82083E+11,4.80783E+11,4.78928E+11,4.76515E+11,4.7354E+11,4.70003E+11,4.65903E+11,4.60784E+11,4.55122E+11,4.48924E+11,4.42199E+11,4.3496E+11,4.27217E+11,4.18987E+11,4.10287E+11,4.01138E+11,3.91561E+11
appliances and electrical equipment 27,7.27928E+11,7.6538E+11,8.44244E+11,8.50164E+11,8.54061E+11,8.56549E+11,8.58002E+11,8.58199E+11,8.58023E+11,8.57497E+11,8.56638E+11,8.54193E+11,8.51442E+11,8.48391E+11,8.45041E+11,8.41386E+11,8.36594E+11,8.32316E+11,8.27707E+11,8.22752E+11,8.17439E+11,8.11263E+11,8.03424E+11,7.94726E+11,7.85176E+11,7.74773E+11,7.63529E+11,7.51459E+11,7.38582E+11,7.24912E+11,7.10474E+11,6.95292E+11,6.78718E+11,6.61496E+11,6.43662E+11,6.25256E+11,6.06321E+11,5.869E+11,5.67043E+11,5.46798E+11,5.26222E+11,5.05372E+11
computers and electronics 26,4.42925E+11,4.15627E+11,4.77886E+11,4.791E+11,4.7844E+11,4.76273E+11,4.72828E+11,4.68004E+11,4.62306E+11,4.55756E+11,4.48373E+11,4.39522E+11,4.29893E+11,4.195E+11,4.08351E+11,3.96453E+11,3.83432E+11,3.70064E+11,3.75374E+11,3.80598E+11,3.85729E+11,3.90524E+11,3.94574E+11,3.98242E+11,4.01514E+11,4.0437E+11,4.06797E+11,4.08781E+11,4.10309E+11,4.11367E+11,4.11944E+11,4.12029E+11,4.112E+11,4.09863E+11,4.08011E+11,4.0564E+11,4.02749E+11,3.99332E+11,3.95392E+11,3.90929E+11,3.85951E+11,3.80463E+11
other machinery 28,2.34562E+11,2.41031E+11,2.6258E+11,2.69173E+11,2.75209E+11,2.80863E+11,2.86245E+11,2.91269E+11,2.96226E+11,3.01126E+11,3.05975E+11,3.1032E+11,3.14611E+11,3.18851E+11,3.23044E+11,3.27187E+11,3.30953E+11,3.3499E+11,3.38968E+11,3.42882E+11,3.46727E+11,3.50284E+11,3.53187E+11,3.55766E+11,3.58007E+11,3.59894E+11,3.61416E+11,3.62562E+11,3.63322E+11,3.63684E+11,3.63639E+11,3.63178E+11,3.61931E+11,3.60258E+11,3.58153E+11,3.55613E+11,3.52637E+11,3.49222E+11,3.45371E+11,3.41084E+11,3.36369E+11,3.3123E+11
water and waste 36T39,69686945840,70754231307,77296403369,78789192281,80112916034,81320677478,82445153923,83462856751,84457803931,85432456763,86388766527,87199025124,87990990593,88765488596,89523034506,90262980183,90895366958,91598259179,92281093412,92942353815,93580365011,94136447759,94513871188,94801856703,94997943626,95098906589,95102674479,95007419203,94811581422,94512950301,94110584147,93602945263,92896593284,92085400263,91169338609,90148825440,89024738163,87797540208,86469100422,85040918515,83515891395,81896578689
energy pipelines and gas processing 352T353,59601063834,56843196679,69007002332,73856340503,78511239394,83009264719,87376002174,91580999258,95712574295,99775906281,1.03776E+11,1.07557E+11,1.11271E+11,1.14921E+11,1.1851E+11,1.2204E+11,1.25388E+11,1.28798E+11,1.32151E+11,1.35444E+11,1.38677E+11,1.41761E+11,1.44545E+11,1.47159E+11,1.49594E+11,1.51842E+11,1.53895E+11,1.55748E+11,1.57393E+11,1.58823E+11,1.60032E+11,1.61014E+11,1.61603E+11,1.61954E+11,1.62064E+11,1.61929E+11,1.61548E+11,1.60917E+11,1.60037E+11,1.58907E+11,1.57529E+11,1.55905E+11
construction 41T43,2.13431E+13,2.29549E+13,2.46054E+13,2.44769E+13,2.43307E+13,2.41431E+13,2.39195E+13,2.3685E+13,2.34215E+13,2.31509E+13,2.28571E+13,2.25439E+13,2.22284E+13,2.1898E+13,2.15554E+13,2.12142E+13,2.08643E+13,2.05175E+13,2.01647E+13,1.98075E+13,1.94555E+13,1.91009E+13,1.8745E+13,1.83953E+13,1.80454E+13,1.77018E+13,1.73586E+13,1.70164E+13,1.66804E+13,1.63455E+13,1.60163E+13,1.5688E+13,1.53607E+13,1.50381E+13,1.47824E+13,1.44627E+13,1.41429E+13,1.38227E+13,1.35047E+13,1.31855E+13,1.28672E+13,1.25467E+13
