Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
rubber and plastic products 22,1.68862E+12,1.68233E+12,1.92118E+12,1.95575E+12,1.98458E+12,2.00902E+12,2.02994E+12,2.04678E+12,2.06164E+12,2.07463E+12,2.08579E+12,2.0921E+12,2.09667E+12,2.09955E+12,2.10077E+12,2.10033E+12,2.09618E+12,2.09246E+12,2.08708E+12,2.08003E+12,2.07128E+12,2.05957E+12,2.04288E+12,2.02326E+12,2.00072E+12,1.97531E+12,1.94705E+12,1.91602E+12,1.88227E+12,1.84589E+12,1.80695E+12,1.76556E+12,1.7201E+12,1.6725E+12,1.62289E+12,1.57143E+12,1.51827E+12,1.46355E+12,1.40745E+12,1.35015E+12,1.29185E+12,1.23273E+12
cement and other nonmetallic minerals 239,1.78788E+12,1.7635E+12,1.89251E+12,1.88119E+12,1.86664E+12,1.85028E+12,1.83297E+12,1.81425E+12,1.79599E+12,1.7782E+12,1.76089E+12,1.74146E+12,1.72256E+12,1.70414E+12,1.68618E+12,1.66865E+12,1.64988E+12,1.63311E+12,1.61664E+12,1.60042E+12,1.58441E+12,1.56762E+12,1.54849E+12,1.52857E+12,1.50786E+12,1.48633E+12,1.46399E+12,1.44084E+12,1.41689E+12,1.39214E+12,1.36661E+12,1.3403E+12,1.31192E+12,1.28286E+12,1.25314E+12,1.2228E+12,1.19187E+12,1.16037E+12,1.12834E+12,1.09583E+12,1.06289E+12,1.02956E+12
iron and steel 241,1.78856E+14,1.78521E+14,1.87573E+14,1.89839E+14,1.9173E+14,1.93379E+14,1.94868E+14,1.96142E+14,1.97401E+14,1.9865E+14,1.99892E+14,2.00829E+14,2.0176E+14,2.02684E+14,2.03603E+14,2.04513E+14,2.05209E+14,2.06097E+14,2.06967E+14,2.07817E+14,2.08641E+14,2.09308E+14,2.09601E+14,2.09722E+14,2.09665E+14,2.09424E+14,2.08994E+14,2.08371E+14,2.07552E+14,2.06533E+14,2.05311E+14,2.03882E+14,2.02042E+14,1.99997E+14,1.97746E+14,1.9529E+14,1.92631E+14,1.89769E+14,1.86707E+14,1.83448E+14,1.79997E+14,1.7636E+14
other metals 242,3.10856E+13,3.10678E+13,3.26625E+13,3.30876E+13,3.34492E+13,3.37699E+13,3.40639E+13,3.43215E+13,3.45775E+13,3.48326E+13,3.50874E+13,3.52899E+13,3.54921E+13,3.56941E+13,3.58959E+13,3.6097E+13,3.62613E+13,3.646E+13,3.66565E+13,3.68501E+13,3.70401E+13,3.72031E+13,3.7301E+13,3.7369E+13,3.74061E+13,3.74109E+13,3.73827E+13,3.73205E+13,3.72236E+13,3.70911E+13,3.69225E+13,3.67169E+13,3.64375E+13,3.6121E+13,3.57671E+13,3.53758E+13,3.49472E+13,3.44812E+13,3.39782E+13,3.34386E+13,3.28632E+13,3.22526E+13
metal products except machinery and vehicles 25,6.02587E+11,5.98597E+11,6.26013E+11,6.30327E+11,6.32818E+11,6.33945E+11,6.33994E+11,6.32808E+11,6.31046E+11,6.28733E+11,6.25884E+11,6.21592E+11,6.16801E+11,6.1152E+11,6.05755E+11,5.99504E+11,5.92184E+11,5.8497E+11,5.77264E+11,5.69061E+11,5.60355E+11,5.50808E+11,5.39896E+11,5.28189E+11,5.15708E+11,5.02473E+11,4.88513E+11,4.73861E+11,4.58551E+11,4.42619E+11,4.26108E+11,4.0906E+11,3.91133E+11,3.72804E+11,3.54128E+11,3.35161E+11,3.15963E+11,3.12806E+11,3.09262E+11,3.05333E+11,3.01026E+11,2.96345E+11
other manufacturing 31T33,1.53389E+12,1.49688E+12,1.74801E+12,1.84835E+12,1.94391E+12,2.03571E+12,2.12442E+12,2.20934E+12,2.29261E+12,2.37436E+12,2.45468E+12,2.52991E+12,2.60366E+12,2.676E+12,2.74698E+12,2.81662E+12,2.88212E+12,2.94909E+12,3.01475E+12,3.07906E+12,3.142E+12,3.20158E+12,3.25441E+12,3.30343E+12,3.34848E+12,3.3894E+12,3.42603E+12,3.45826E+12,3.48597E+12,3.50899E+12,3.52725E+12,3.54061E+12,3.54545E+12,3.54521E+12,3.53985E+12,3.52932E+12,3.51359E+12,3.49263E+12,3.46646E+12,3.43507E+12,3.39855E+12,3.35694E+12
glass and glass products 231,3.7679E+11,3.67981E+11,4.19083E+11,4.28043E+11,4.35813E+11,4.42684E+11,4.48837E+11,4.54149E+11,4.59083E+11,4.63658E+11,4.67888E+11,4.71088E+11,4.73956E+11,4.76501E+11,4.7873E+11,4.80643E+11,4.81768E+11,4.83053E+11,4.84021E+11,4.84666E+11,4.84984E+11,4.84676E+11,4.83256E+11,4.81199E+11,4.78505E+11,4.7517E+11,4.71197E+11,4.66593E+11,4.61366E+11,4.55522E+11,4.49073E+11,4.4203E+11,4.33977E+11,4.25381E+11,4.16263E+11,4.06646E+11,3.96557E+11,3.86021E+11,3.75068E+11,3.63728E+11,3.52039E+11,3.40035E+11
road vehicles 29,1.57417E+11,1.45776E+11,1.80151E+11,1.83681E+11,1.8676E+11,1.89513E+11,1.92015E+11,1.94215E+11,1.96309E+11,1.98303E+11,2.00203E+11,2.01714E+11,2.03135E+11,2.04467E+11,2.05713E+11,2.06871E+11,2.07738E+11,2.08722E+11,2.09614E+11,2.10414E+11,2.11117E+11,2.11593E+11,2.11627E+11,2.11423E+11,2.10979E+11,2.1029E+11,2.09354E+11,2.08172E+11,2.06743E+11,2.05066E+11,2.03143E+11,2.00975E+11,1.98367E+11,1.95525E+11,1.92455E+11,1.89162E+11,1.85653E+11,1.81934E+11,1.78014E+11,1.73901E+11,1.69607E+11,1.65141E+11
nonroad vehicles 30,38676586040,35854933046,44358403853,45278272331,46089666204,46823065135,47497372433,48099213011,48677201781,49232979428,49767876508,50208549993,50628842100,51029430422,51410799099,51772751200,52063924472,52386547947,52688829951,52970053449,53229411652,53433744792,53528635565,53565272723,53542732555,53459699846,53315550751,53109835893,52842293678,52512337577,52120126413,51665524334,51097883680,50469984244,49782630545,49036897206,48234132856,47375483330,46462873810,45498043220,44483488793,43421529065
appliances and electrical equipment 27,4.17678E+11,4.39168E+11,4.84419E+11,4.87816E+11,4.90052E+11,4.9148E+11,4.92313E+11,4.92426E+11,4.92325E+11,4.92023E+11,4.91531E+11,4.90128E+11,4.88549E+11,4.86798E+11,4.84876E+11,4.82779E+11,4.8003E+11,4.77575E+11,4.7493E+11,4.72087E+11,4.69039E+11,4.65495E+11,4.60997E+11,4.56006E+11,4.50526E+11,4.44557E+11,4.38105E+11,4.3118E+11,4.23791E+11,4.15947E+11,4.07663E+11,3.98952E+11,3.89442E+11,3.7956E+11,3.69327E+11,3.58766E+11,3.47901E+11,3.36757E+11,3.25363E+11,3.13747E+11,3.01941E+11,2.89977E+11
computers and electronics 26,3.31272E+11,3.10855E+11,3.5742E+11,3.58328E+11,3.57834E+11,3.56214E+11,3.53637E+11,3.50029E+11,3.45767E+11,3.40868E+11,3.35347E+11,3.28727E+11,3.21525E+11,3.13752E+11,3.05414E+11,2.96514E+11,2.86776E+11,2.76778E+11,2.80749E+11,2.84656E+11,2.88494E+11,2.9208E+11,2.95109E+11,2.97853E+11,3.003E+11,3.02436E+11,3.04251E+11,3.05735E+11,3.06878E+11,3.07669E+11,3.08101E+11,3.08164E+11,3.07544E+11,3.06544E+11,3.05159E+11,3.03386E+11,3.01223E+11,2.98668E+11,2.95721E+11,2.92383E+11,2.8866E+11,2.84555E+11
other machinery 28,8036018124,8257641745,8995890504,9221752765,9428535790,9622252670,9806628227,9978756251,10148593581,10316450533,10482579215,10631426017,10778435832,10923725610,11067373959,11209314446,11338337000,11476612764,11612899737,11747009807,11878730236,12000576766,12100065107,12188407592,12265172506,12329822553,12381962454,12421222764,12447263742,12459654579,12458125688,12442324062,12399624055,12342296420,12270178939,12183166571,12081214664,11964220981,11832273365,11685409787,11523860930,11347813810
water and waste 36T39,1.36802E+11,1.38897E+11,1.5174E+11,1.54671E+11,1.57269E+11,1.5964E+11,1.61848E+11,1.63846E+11,1.65799E+11,1.67712E+11,1.6959E+11,1.7118E+11,1.72735E+11,1.74255E+11,1.75742E+11,1.77195E+11,1.78436E+11,1.79816E+11,1.81157E+11,1.82455E+11,1.83707E+11,1.84799E+11,1.8554E+11,1.86105E+11,1.8649E+11,1.86688E+11,1.86696E+11,1.86509E+11,1.86124E+11,1.85538E+11,1.84748E+11,1.83752E+11,1.82365E+11,1.80773E+11,1.78974E+11,1.76971E+11,1.74764E+11,1.72355E+11,1.69747E+11,1.66944E+11,1.6395E+11,1.60771E+11
energy pipelines and gas processing 352T353,1.78702E+11,1.70433E+11,2.06903E+11,2.21443E+11,2.354E+11,2.48886E+11,2.61979E+11,2.74587E+11,2.86975E+11,2.99158E+11,3.1115E+11,3.22487E+11,3.33622E+11,3.44566E+11,3.55328E+11,3.65912E+11,3.75949E+11,3.86175E+11,3.96227E+11,4.06101E+11,4.15793E+11,4.25041E+11,4.3339E+11,4.41226E+11,4.48527E+11,4.55267E+11,4.61424E+11,4.66978E+11,4.7191E+11,4.76197E+11,4.79823E+11,4.82768E+11,4.84533E+11,4.85586E+11,4.85915E+11,4.85511E+11,4.84368E+11,4.82477E+11,4.79839E+11,4.76451E+11,4.72319E+11,4.67449E+11
construction 41T43,2.95E+11,3.18E+11,3.40E+11,3.39E+11,3.37E+11,3.34E+11,3.31E+11,3.28E+11,3.24E+11,3.20E+11,3.16E+11,3.12E+11,3.08E+11,3.03E+11,2.98E+11,2.93E+11,2.89E+11,2.84E+11,2.79E+11,2.74E+11,2.69E+11,2.64E+11,2.59E+11,2.54E+11,2.50E+11,2.45E+11,2.40E+11,2.35E+11,2.31E+11,2.26E+11,2.22E+11,2.17E+11,2.13E+11,2.08E+11,2.05E+11,2.00E+11,1.96E+11,1.91E+11,1.87E+11,1.82E+11,1.78E+11,1.74E+11
